date,cap
1/21/2018,67485.6
1/22/2018,67452.9
1/23/2018,67460.9
1/24/2018,67399.9
1/25/2018,67391.1
1/26/2018,67382
1/27/2018,67371.9
1/28/2018,67371.6
1/29/2018,67330.5
1/30/2018,67323
1/31/2018,67300.3
2/1/2018,67290.7
2/2/2018,67300.7
2/3/2018,67311
2/4/2018,67274.5
2/5/2018,67274.4
2/6/2018,67302.3
2/7/2018,67254.7
2/8/2018,67261.3
2/9/2018,67241.2
2/10/2018,67201.2
2/11/2018,67211.3
2/12/2018,67211.4
2/13/2018,67142.4
2/14/2018,67166.9
2/15/2018,67270.2
2/16/2018,67257.5
2/17/2018,67262.9
2/18/2018,67264.4
2/19/2018,67221.5
2/20/2018,67190.9
2/21/2018,67213
2/22/2018,67160.4
2/23/2018,67170.7
2/24/2018,67141.5
2/25/2018,67134
2/26/2018,67162.3
2/27/2018,67136.8
2/28/2018,67127.3
3/1/2018,67104.6
3/2/2018,67084.5
3/3/2018,67094.8
3/4/2018,67054.2
3/5/2018,67044.1
3/6/2018,67063.9
3/7/2018,67134
3/8/2018,67253.9
3/9/2018,67076
3/10/2018,67124.3
3/11/2018,67135.1
3/12/2018,67124.8
3/13/2018,67113.9
3/14/2018,67093.6
3/15/2018,67083.4
3/16/2018,67073.4
3/17/2018,67073.5
3/18/2018,67073.7
3/19/2018,67084.4
3/20/2018,67106.4
3/21/2018,67098.6
3/22/2018,67107.4
3/23/2018,67076.7
3/24/2018,67085.9
3/25/2018,67075.9
3/26/2018,67078
3/27/2018,67017.9
3/28/2018,67019.4
3/29/2018,67058.4
3/30/2018,67040.2
3/31/2018,67010.2
4/1/2018,66986.8
4/2/2018,66966.8
4/3/2018,66956.6
4/4/2018,66959.1
4/5/2018,66946.3
4/6/2018,66926.1
4/7/2018,66859.1
4/8/2018,67089.4
4/9/2018,67114.5
4/10/2018,67023.8
4/11/2018,67102.9
4/12/2018,67077.7
4/13/2018,67087.5
4/14/2018,67077.3
4/15/2018,67077.5
4/16/2018,67087.4
4/17/2018,67059.8
4/18/2018,67039.8
4/19/2018,67073.5
4/20/2018,67055.3
4/21/2018,67064.3
4/22/2018,67061.5
4/23/2018,67037.8
4/24/2018,67040
4/25/2018,67027.6
4/26/2018,67007.4
4/27/2018,67027.3
4/28/2018,66987.6
4/29/2018,66988.4
4/30/2018,66989
5/1/2018,66980.5
5/2/2018,66989.3
5/3/2018,66958.1
5/4/2018,66967.7
5/5/2018,66967.9
5/6/2018,66950.2
5/7/2018,66957.4
5/8/2018,66947.5
5/9/2018,66848.2
5/10/2018,66890.5
5/11/2018,66903.8
5/12/2018,66862
5/13/2018,66911.7
5/14/2018,66889.8
5/15/2018,66907.2
5/16/2018,66856.8
5/17/2018,66866.6
5/18/2018,66858.9
5/19/2018,66846.4
5/20/2018,66779.7
5/21/2018,66817.6
5/22/2018,66829.1
5/23/2018,66817.6
5/24/2018,66807
5/25/2018,66805.7
5/26/2018,66815.8
5/27/2018,66785.9
5/28/2018,66805.8
5/29/2018,66795.8
5/30/2018,66718.5
5/31/2018,66705.3
6/1/2018,66715
6/2/2018,66767.8
6/3/2018,66727.6
6/4/2018,66727.7
6/5/2018,66746.7
6/6/2018,66725.6
6/7/2018,66695.6
6/8/2018,66698.3
6/9/2018,66695.7
6/10/2018,66687.9
6/11/2018,66696.4
6/12/2018,66659.3
6/13/2018,66617.3
6/14/2018,66636.3
6/15/2018,66666.2
6/16/2018,66635.6
6/17/2018,66635.7
6/18/2018,66645.7
6/19/2018,66635.8
6/20/2018,66596.4
6/21/2018,66507.3
6/22/2018,66577.3
6/23/2018,66497.3
6/24/2018,65030.1
6/25/2018,65415.9
6/26/2018,65553.4
6/27/2018,65633
6/28/2018,65683.3
6/29/2018,65753
6/30/2018,65792.9
7/1/2018,65822
7/2/2018,65913.9
7/3/2018,65964.7
7/4/2018,65934.6
7/5/2018,65970.5
7/6/2018,66061.2
7/7/2018,66053.6
7/8/2018,66053.6
7/9/2018,65872
7/10/2018,65859.7
7/11/2018,65890.4
7/12/2018,66021.4
7/13/2018,65903.3
7/14/2018,65974.2
7/15/2018,66074.6
7/16/2018,66085.1
7/17/2018,66105.5
7/18/2018,66134.9
7/19/2018,66107.5
7/20/2018,66115.2
7/21/2018,66115
7/22/2018,66125
7/23/2018,66125.5
7/24/2018,66105.1
7/25/2018,66033.5
7/26/2018,66113.6
7/27/2018,66094
7/28/2018,66114.3
7/29/2018,66116.6
7/30/2018,66106.3
